Darkness|暗闇
Tile Floor C (Ruins)|タイル床C（廃墟）
Cobblestones F (Ruins)|石畳F（廃墟）
Ground F (Dirt, Ruins)|床F（土・廃墟）
Ground G (Demon Castle, Ruins)|床G（魔王城・廃墟）
Ground I (Ice, Ruins)|床I（氷・廃墟）
Relief Floor Tile (Silver)|レリーフ床（銀）
Large Relief Floor Tile|大きなレリーフ床
Large Relief Floor Tile|大きなレリーフ床
Large Relief Floor Tile (Ruins)|大きなレリーフ床（廃墟）
Large Relief Floor Tile (Ruins)|大きなレリーフ床（廃墟）
Directional Floor Tile A (Down)|方向床A（下）
Directional Floor Tile B (Up)|方向床B（上）
Relief Floor Tile A (Gold)|レリーフ床A（金）
Relief Floor Tile B (Gold)|レリーフ床B（金）
Large Relief Floor Tile|大きなレリーフ床
Large Relief Floor Tile|大きなレリーフ床
Large Relief Floor Tile (Ruins)|大きなレリーフ床（廃墟）
Large Relief Floor Tile (Ruins)|大きなレリーフ床（廃墟）
Directional Floor Tile C (Left)|方向床C（左）
Directional Floor Tile D (Right)|方向床D（右）
Relief Floor Tile C (Gold)|レリーフ床C（金）
Relief Floor Tile D (Gold, Ruins)|レリーフ床D（金・廃墟）
