Darkness|暗闇
Interior Floor K (Demon Castle, Ruins)|内装床K（魔王城・廃墟）
Interior Floor L (Demon Castle, Ruins)|内装床L（魔王城・廃墟）
Gold Floor (Ruins)|黄金の床（廃墟）
Ice Floor (Ruins)|氷の床（廃墟）
Stairs A (Wood, Left)|階段A（木製・左）
Stairs A (Wood, Center)|階段A（木製・中央）
Stairs A (Wood)|階段A（木製・右）
Stairs A (Wood)|階段A（木製）
Stairs B (Stone, Left)|階段B（石・左）
Stairs B (Stone, Center)|階段B（石・中央）
Stairs B (Stone, Right)|階段B（石・右）
Stairs B (Stone)|階段B（石）
Stairs C (Stone, Left)|階段C（石・左）
Stairs C (Stone, Center)|階段C（石・中央）
Stairs C (Stone, Right)|階段C（石・右）
Stairs C (Stone)|階段C（石）
Stairs C (Stone, Ruins, Left)|階段C（石・廃墟・左）
Stairs C (Stone, Ruins, Center)|階段C（石・廃墟・中央）
Stairs C (Stone, Ruins, Right)|階段C（石・廃墟・右）
Stairs C (Stone, Ruins)|階段C（石・廃墟）
Stairs D (Carpet, Left)|階段D（じゅうたん・左）
Stairs D (Carpet, Center)|階段D（じゅうたん・中央）
Stairs D (Carpet, Right)|階段D（じゅうたん・右）
Stairs D (Carpet)|階段D（じゅうたん）
Stairs E (Carpet, Left)|階段E（じゅうたん・左）
Stairs E (Carpet, Center)|階段E（じゅうたん・中央）
Stairs E (Carpet, Right)|階段E（じゅうたん・右）
Stairs E (Carpet)|階段E（じゅうたん）
Large Relief Floor Tile|大きなレリーフ床
Large Relief Floor Tile|大きなレリーフ床
Large Relief Floor Tile (Ruins)|大きなレリーフ床（廃墟）
Large Relief Floor Tile (Ruins)|大きなレリーフ床（廃墟）
Relief Floor Tile A (Silver)|レリーフ床A（銀）
Relief Floor Tile B (Silver)|レリーフ床B（銀）
Relief Floor Tile C (Gold)|レリーフ床C（金）
Relief Floor Tile D (Gold)|レリーフ床D（金）
Large Relief Floor Tile|大きなレリーフ床
Large Relief Floor Tile|大きなレリーフ床
Large Relief Floor Tile (Ruins)|大きなレリーフ床（廃墟）
Large Relief Floor Tile (Ruins)|大きなレリーフ床（廃墟）
Relief Floor Tile E (Silver, Ruins)|レリーフ床E（銀・廃墟）
Relief Floor Tile F (Silver)|レリーフ床F（銀）
Relief Floor Tile G (Gold, Ruins)|レリーフ床G（金・廃墟）
Relief Floor Tile H (Gold)|レリーフ床H（金）
